Date : 2023-05-22 08:42:09
Directory : d:\FlutterApp
Total : 92 files,  4761 codes, 192 comments, 449 blanks, all 5402 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| lib\ui\pages                                                                             |         38 |      3,228 |         10 |        240 |      3,478 |
| lib\ui\pages\auth                                                                        |          4 |        392 |          0 |         30 |        422 |
| lib\ui\pages\auth\login                                                                  |          2 |        163 |          0 |         18 |        181 |
| lib\ui\pages\auth\register                                                               |          2 |        229 |          0 |         12 |        241 |
| lib\ui\pages\favorites                                                                   |          3 |        237 |          0 |         20 |        257 |
| lib\ui\pages\favorites (Files)                                                           |          2 |        145 |          0 |         16 |        161 |
| lib\ui\pages\favorites\widgets                                                           |          1 |         92 |          0 |          4 |         96 |
| lib\ui\pages\home                                                                        |         29 |      2,378 |         10 |        175 |      2,563 |
| lib\ui\pages\home (Files)                                                                |          2 |        206 |          5 |         15 |        226 |
| lib\ui\pages\home\compare_cars                                                           |          9 |        804 |          1 |         63 |        868 |
| lib\ui\pages\home\compare_cars (Files)                                                   |          2 |        222 |          0 |         14 |        236 |
| lib\ui\pages\home\compare_cars\selected_car                                              |          2 |        162 |          0 |         10 |        172 |
| lib\ui\pages\home\compare_cars\selected_car (Files)                                      |          1 |         65 |          0 |          6 |         71 |
| lib\ui\pages\home\compare_cars\selected_car\widgets                                      |          1 |         97 |          0 |          4 |        101 |
| lib\ui\pages\home\compare_cars\simulate_race                                             |          3 |        316 |          1 |         31 |        348 |
| lib\ui\pages\home\compare_cars\simulate_race (Files)                                     |          2 |        209 |          0 |         27 |        236 |
| lib\ui\pages\home\compare_cars\simulate_race\widgets                                     |          1 |        107 |          1 |          4 |        112 |
| lib\ui\pages\home\compare_cars\widgets                                                   |          2 |        104 |          0 |          8 |        112 |
| lib\ui\pages\home\create_car                                                             |          4 |        246 |          0 |         14 |        260 |
| lib\ui\pages\home\create_car (Files)                                                     |          2 |         47 |          0 |          8 |         55 |
| lib\ui\pages\home\create_car\widgets                                                     |          2 |        199 |          0 |          6 |        205 |
| lib\ui\pages\home\info_cars                                                              |          4 |        494 |          2 |         27 |        523 |
| lib\ui\pages\home\info_cars (Files)                                                      |          2 |        351 |          2 |         19 |        372 |
| lib\ui\pages\home\info_cars\widgets                                                      |          2 |        143 |          0 |          8 |        151 |
| lib\ui\pages\home\premium                                                                |          6 |        296 |          0 |         22 |        318 |
| lib\ui\pages\home\premium (Files)                                                        |          1 |         51 |          0 |          5 |         56 |
| lib\ui\pages\home\premium\payment                                                        |          3 |        144 |          0 |         11 |        155 |
| lib\ui\pages\home\premium\payment (Files)                                                |          2 |        116 |          0 |          8 |        124 |
| lib\ui\pages\home\premium\payment\widgets                                                |          1 |         28 |          0 |          3 |         31 |
| lib\ui\pages\home\premium\widgets                                                        |          2 |        101 |          0 |          6 |        107 |
| lib\ui\pages\home\search_car                                                             |          3 |        254 |          1 |         26 |        281 |
| lib\ui\pages\home\search_car (Files)                                                     |          2 |        199 |          1 |         21 |        221 |
| lib\ui\pages\home\search_car\widgets                                                     |          1 |         55 |          0 |          5 |         60 |
| lib\ui\pages\home\video_car                                                              |          1 |         78 |          1 |          8 |         87 |
| lib\ui\pages\profile                                                                     |          2 |        221 |          0 |         15 |        236 |
| lib\ui\splash                                                                            |          2 |         77 |          0 |         10 |         87 |
| lib\utils                                                                                |          5 |        163 |          7 |         18 |        188 |
| lib\utils\drawer                                                                         |          1 |         78 |          7 |          8 |         93 |
| lib\utils\fonts                                                                          |          1 |          9 |          0 |          2 |         11 |
| lib\utils\global_widgets                                                                 |          1 |         54 |          0 |          3 |         57 |
| lib\utils\methods                                                                        |          1 |         14 |          0 |          2 |         16 |
| lib\utils\style                                                                          |          1 |          8 |          0 |          3 |         11 |
| test                                                                                     |          1 |         14 |         10 |          7 |         31 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                 | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\FlutterApp\README.md                                                                  | Markdown        |          1 |          0 |          0 |          1 |
| d:\FlutterApp\analysis_options.yaml                                                      | YAML            |          3 |         23 |          4 |         30 |
| d:\FlutterApp\android\app\build.gradle                                                   | Groovy          |         54 |          5 |         13 |         72 |
| d:\FlutterApp\android\app\google-services.json                                           | JSON            |         39 |          0 |          0 |         39 |
| d:\FlutterApp\android\app\src\debug\AndroidManifest.xml                                  | XML             |          4 |          4 |          1 |          9 |
| d:\FlutterApp\android\app\src\main\AndroidManifest.xml                                   | XML             |         30 |          6 |          2 |         38 |
| d:\FlutterApp\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java   | Java            |         13 |          9 |          4 |         26 |
| d:\FlutterApp\android\app\src\main\res\drawable-night-v21\launch_background.xml          | XML             |          6 |          0 |          1 |          7 |
| d:\FlutterApp\android\app\src\main\res\drawable-night\launch_background.xml              | XML             |          6 |          0 |          1 |          7 |
| d:\FlutterApp\android\app\src\main\res\drawable-v21\launch_background.xml                | XML             |          9 |          0 |          1 |         10 |
| d:\FlutterApp\android\app\src\main\res\drawable\launch_background.xml                    | XML             |          9 |          0 |          1 |         10 |
| d:\FlutterApp\android\app\src\main\res\values-night\styles.xml                           | XML             |         13 |          9 |          1 |         23 |
| d:\FlutterApp\android\app\src\main\res\values\styles.xml                                 | XML             |         13 |          9 |          1 |         23 |
| d:\FlutterApp\android\app\src\profile\AndroidManifest.xml                                | XML             |          4 |          4 |          1 |          9 |
| d:\FlutterApp\android\build.gradle                                                       | Groovy          |         27 |          0 |          5 |         32 |
| d:\FlutterApp\android\gradle.properties                                                  | Java Properties |          3 |          0 |          1 |          4 |
| d:\FlutterApp\android\gradle\wrapper\gradle-wrapper.properties                           | Java Properties |          5 |          0 |          1 |          6 |
| d:\FlutterApp\android\settings.gradle                                                    | Groovy          |          8 |          0 |          4 |         12 |
| d:\FlutterApp\assets\icons\Arrow.svg                                                     | XML             |          7 |          0 |          0 |          7 |
| d:\FlutterApp\assets\icons\dots.svg                                                      | XML             |          4 |          0 |          0 |          4 |
| d:\FlutterApp\assets\icons\filter.svg                                                    | XML             |         24 |          0 |          0 |         24 |
| d:\FlutterApp\assets\icons\search.svg                                                    | XML             |          4 |          0 |          0 |          4 |
| d:\FlutterApp\assets\lottie\carsplash.json                                               | JSON            |          1 |          0 |          0 |          1 |
| d:\FlutterApp\ios\Runner\AppDelegate.swift                                               | Swift           |         12 |          0 |          2 |         14 |
| d:\FlutterApp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                | JSON            |        122 |          0 |          1 |        123 |
| d:\FlutterApp\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json         | JSON            |         21 |          0 |          1 |         22 |
| d:\FlutterApp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json              | JSON            |         23 |          0 |          1 |         24 |
| d:\FlutterApp\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                  | Markdown        |          3 |          0 |          2 |          5 |
| d:\FlutterApp\ios\Runner\Base.lproj\LaunchScreen.storyboard                              | XML             |         43 |          1 |          1 |         45 |
| d:\FlutterApp\ios\Runner\Base.lproj\Main.storyboard                                      | XML             |         25 |          1 |          1 |         27 |
| d:\FlutterApp\ios\Runner\Runner-Bridging-Header.h                                        | C++             |          1 |          0 |          1 |          2 |
| d:\FlutterApp\ios\firebase_app_id_file.json                                              | JSON            |          7 |          0 |          0 |          7 |
| d:\FlutterApp\lib\data\models\car.dart                                                   | Dart            |         53 |          0 |          6 |         59 |
| d:\FlutterApp\lib\data\models\user_data.dart                                             | Dart            |         41 |          0 |          8 |         49 |
| d:\FlutterApp\lib\data\provider\car_repository.dart                                      | Dart            |        186 |          0 |         17 |        203 |
| d:\FlutterApp\lib\data\provider\google_sign_in.dart                                      | Dart            |         21 |          0 |          6 |         27 |
| d:\FlutterApp\lib\data\provider\user_repository.dart                                     | Dart            |         53 |          0 |         15 |         68 |
| d:\FlutterApp\lib\data\services\auth.dart                                                | Dart            |         32 |          0 |         11 |         43 |
| d:\FlutterApp\lib\data\services\firebase_services.dart                                   | Dart            |        116 |          0 |         19 |        135 |
| d:\FlutterApp\lib\data\services\widget_tree.dart                                         | Dart            |         24 |          0 |          4 |         28 |
| d:\FlutterApp\lib\firebase_options.dart                                                  | Dart            |         54 |         12 |          4 |         70 |
| d:\FlutterApp\lib\main.dart                                                              | Dart            |         46 |          0 |          5 |         51 |
| d:\FlutterApp\lib\routes\pages.dart                                                      | Dart            |         36 |          0 |          3 |         39 |
| d:\FlutterApp\lib\routes\routes.dart                                                     | Dart            |         17 |         15 |          6 |         38 |
| d:\FlutterApp\lib\ui\pages\auth\login\login_controller.dart                              | Dart            |         32 |          0 |          7 |         39 |
| d:\FlutterApp\lib\ui\pages\auth\login\login_page.dart                                    | Dart            |        131 |          0 |         11 |        142 |
| d:\FlutterApp\lib\ui\pages\auth\register\register_controller.dart                        | Dart            |         30 |          0 |          4 |         34 |
| d:\FlutterApp\lib\ui\pages\auth\register\register_page.dart                              | Dart            |        199 |          0 |          8 |        207 |
| d:\FlutterApp\lib\ui\pages\favorites\favorites_controller.dart                           | Dart            |         23 |          0 |          9 |         32 |
| d:\FlutterApp\lib\ui\pages\favorites\favorites_page.dart                                 | Dart            |        122 |          0 |          7 |        129 |
| d:\FlutterApp\lib\ui\pages\favorites\widgets\card_car.dart                               | Dart            |         92 |          0 |          4 |         96 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\compare_car.dart                            | Dart            |        207 |          0 |          9 |        216 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\compare_car_controller.dart                 | Dart            |         15 |          0 |          5 |         20 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\selected_car\selected_car.dart              | Dart            |         65 |          0 |          6 |         71 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\selected_car\widgets\select_car.dart        | Dart            |         97 |          0 |          4 |        101 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\simulate_race.dart            | Dart            |        109 |          0 |         15 |        124 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\simulate_race_controller.dart | Dart            |        100 |          0 |         12 |        112 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\simulate_race\widgets\simulate_specs.dart   | Dart            |        107 |          1 |          4 |        112 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\widgets\compare_specs.dart                  | Dart            |          8 |          0 |          4 |         12 |
| d:\FlutterApp\lib\ui\pages\home\compare_cars\widgets\images_compare.dart                 | Dart            |         96 |          0 |          4 |        100 |
| d:\FlutterApp\lib\ui\pages\home\create_car\create_car.dart                               | Dart            |         32 |          0 |          5 |         37 |
| d:\FlutterApp\lib\ui\pages\home\create_car\create_car_controller.dart                    | Dart            |         15 |          0 |          3 |         18 |
| d:\FlutterApp\lib\ui\pages\home\create_car\widgets\form_create_car.dart                  | Dart            |        164 |          0 |          3 |        167 |
| d:\FlutterApp\lib\ui\pages\home\create_car\widgets\text_field_create.dart                | Dart            |         35 |          0 |          3 |         38 |
| d:\FlutterApp\lib\ui\pages\home\home_controller.dart                                     | Dart            |          9 |          0 |          6 |         15 |
| d:\FlutterApp\lib\ui\pages\home\home_page.dart                                           | Dart            |        197 |          5 |          9 |        211 |
| d:\FlutterApp\lib\ui\pages\home\info_cars\info_car.dart                                  | Dart            |        259 |          1 |          8 |        268 |
| d:\FlutterApp\lib\ui\pages\home\info_cars\info_car_controller.dart                       | Dart            |         92 |          1 |         11 |        104 |
| d:\FlutterApp\lib\ui\pages\home\info_cars\widgets\car_specs.dart                         | Dart            |        120 |          0 |          4 |        124 |
| d:\FlutterApp\lib\ui\pages\home\info_cars\widgets\like_button.dart                       | Dart            |         23 |          0 |          4 |         27 |
| d:\FlutterApp\lib\ui\pages\home\premium\payment\payment_controller.dart                  | Dart            |          9 |          0 |          2 |         11 |
| d:\FlutterApp\lib\ui\pages\home\premium\payment\payment_page.dart                        | Dart            |        107 |          0 |          6 |        113 |
| d:\FlutterApp\lib\ui\pages\home\premium\payment\widgets\text_form_field_payment.dart     | Dart            |         28 |          0 |          3 |         31 |
| d:\FlutterApp\lib\ui\pages\home\premium\premium_page.dart                                | Dart            |         51 |          0 |          5 |         56 |
| d:\FlutterApp\lib\ui\pages\home\premium\widgets\info_functions.dart                      | Dart            |         30 |          0 |          3 |         33 |
| d:\FlutterApp\lib\ui\pages\home\premium\widgets\rounded_button_payment.dart              | Dart            |         71 |          0 |          3 |         74 |
| d:\FlutterApp\lib\ui\pages\home\search_car\search_car.dart                               | Dart            |        181 |          1 |         11 |        193 |
| d:\FlutterApp\lib\ui\pages\home\search_car\search_car_controller.dart                    | Dart            |         18 |          0 |         10 |         28 |
| d:\FlutterApp\lib\ui\pages\home\search_car\widgets\item_car_search.dart                  | Dart            |         55 |          0 |          5 |         60 |
| d:\FlutterApp\lib\ui\pages\home\video_car\billboard_page.dart                            | Dart            |         78 |          1 |          8 |         87 |
| d:\FlutterApp\lib\ui\pages\profile\profile_controller.dart                               | Dart            |         11 |          0 |          7 |         18 |
| d:\FlutterApp\lib\ui\pages\profile\profile_page.dart                                     | Dart            |        210 |          0 |          8 |        218 |
| d:\FlutterApp\lib\ui\splash\splash_controller.dart                                       | Dart            |         30 |          0 |          4 |         34 |
| d:\FlutterApp\lib\ui\splash\splash_page.dart                                             | Dart            |         47 |          0 |          6 |         53 |
| d:\FlutterApp\lib\utils\drawer\drawer_menu.dart                                          | Dart            |         78 |          7 |          8 |         93 |
| d:\FlutterApp\lib\utils\fonts\fonts.dart                                                 | Dart            |          9 |          0 |          2 |         11 |
| d:\FlutterApp\lib\utils\global_widgets\custom_rounded_button.dart                        | Dart            |         54 |          0 |          3 |         57 |
| d:\FlutterApp\lib\utils\methods\methods.dart                                             | Dart            |         14 |          0 |          2 |         16 |
| d:\FlutterApp\lib\utils\style\font_style.dart                                            | Dart            |          8 |          0 |          3 |         11 |
| d:\FlutterApp\local.properties                                                           | Java Properties |          1 |          7 |          1 |          9 |
| d:\FlutterApp\pubspec.yaml                                                               | YAML            |         55 |         60 |         17 |        132 |
| d:\FlutterApp\test\widget_test.dart                                                      | Dart            |         14 |         10 |          7 |         31 |
| Total                                                                                    |                 |      4,761 |        192 |        449 |      5,402 |
+------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
